	Gammaproteobacteria	Alphaproteobacteria	Vicinamibacteria	Bacteroidia	Actinobacteria	Bacilli	Verrucomicrobiae	Planctomycetes	Bacteria_unclassified	Thermoleophilia	Nitrososphaeria	Polyangia	Clostridia	Blastocatellia	Gemmatimonadetes	Acidobacteriae	Acidimicrobiia	Phycisphaerae	Desulfuromonadia	Deinococci	KD4-96	TK10	Anaerolineae	Nitrospiria	Thermoanaerobaculia	Latescibacterota_cl	Subgroup_11	Methylomirabilia	RCP2-54_cl	Holophagae	Subgroup_5	Entotheonellia	Fusobacteriia	Myxococcia	Ignavibacteria	Chloroflexia	Chlamydiae	OM190	Cyanobacteriia	MB-A2-108	Armatimonadota_class	Oligoflexia	Bdellovibrionia	NB1-j_cl	Abditibacteria	Elusimicrobia	Dehalococcoidia	OLB14	Subgroup_22	Subgroup_25	Gitt-GS-136	BD2-11_terrestrial_group	Negativicutes	Kapabacteria	Ktedonobacteria	MBNT15_cl	Chloroflexi_unclassified	Fibrobacteria	Longimicrobia	Actinobacteriota_unclassified	Vampirivibrionia	Fimbriimonadia	Desulfobacterota_class	Acidobacteriota_unclassified	Armatimonadia	Latescibacteria	Sericytochromatia	Sumerlaeia	Babeliae	S0134_terrestrial_group	Parcubacteria	vadinHA49	Spirochaetia	Lineage_IIb	Pla4_lineage	AKAU4049	bacteriap25	JG30-KF-CM66	Proteobacteria_unclassified	Gemmatimonadota_unclassified	Kiritimatiellae	Bacteroidota_unclassified	ABY1	Myxococcota_unclassified	Chthonomonadetes	Desulfobacterota_unclassified	AT-s3-28	Leptospirae	Subgroup_18	Kryptonia	Omnitrophia	Lineage_IIa	Rubrobacteria	Desulfobulbia	AD3	Gracilibacteria	WS2_cl	Methanomicrobia	WPS-2_cl	Subgroup_20	Microgenomatia	Thermoplasmatota_unclassified	Saccharimonadia	Planctomycetota_unclassified	Pla3_lineage	Campylobacteria	Rhodothermia	WWE3	SHA-26	Firmicutes_unclassified	BD7-11	Coriobacteriia	Subgroup_19	Thermovenabulia	Cyanobacteria_unclassified	Limnochordia	Patescibacteria_unclassified	SAR324_clade(Marine_group_B)_cl	Berkelbacteria	GAL15_cl	Patescibacteria_class	Syntrophobacteria	Syntrophomonadia	FCPU426_cl	Bdellovibrionota_unclassified	Archaea_unclassified	Latescibacterota_unclassified	P2-11E	Defferrisomatia	Armatimonadota_unclassified	Hydrogenedentia	Verrucomicrobiota_unclassified
21to22FACS16S221215A01	0.22748338648610428	0.0930356778156568	0.09363266460339648	0.031561748857084494	0.048041726234427255	0.02222990275399432	0.07463905864609681	0.036777528160495176	0.012065417183793389	0.08200713242109567	0.03493943726140166	0.007619436632994516	0.004964416445414985	0.022025670431872812	0.006158390020894537	0.0005655664304903147	0.026801564733791052	0.005812766091150457	0.02486921276294912	0.0006912478594881624	0.048842945344288555	0.004273168585926823	0.007038160023879471	0.0028906728669504966	0.003566210547813928	0.0027021507234537257	0.002419367508208568	0.0	0.002466498044082761	0.0023408166150849135	0.0010525819678569746	0.00048701553736665983	0.0	0.0003456239297440812	0.003000644117323614	0.006064128949146151	0.0	0.002733571080703188	0.0006126969663645075	0.013008027901277237	0.0019951926853408325	0.0007855089312365482	0.0005655664304903146	0.0012096837541042843	0.0	0.00031420357249461924	0.005859896627024649	0.0016809891128462132	0.0	0.002592179473080609	0.0019637723280913704	0.0	0.0	0.0	0.0038804141203085483	4.713053587419289e-05	0.0019480621494666398	0.0	0.0	0.0006755376808634314	0.00032991375111935024	7.855089312365481e-05	0.0030949051890719996	0.0	0.0	0.0	0.002183714828837604	0.0016181483983472892	0.0010368717892322436	0.0	0.0001256814289978477	0.0	0.0	0.0	0.0	0.0	0.0007383783953623552	0.0015395975052236344	0.0	0.0	0.0	0.0	4.713053587419289e-05	1.5710178624730964e-05	0.0	0.0020109028639655633	0.00028278321524515736	0.0	0.0	0.0	0.0	0.0	0.00010997125037311674	0.0	0.0	0.0	0.0	0.0	0.0014139160762257866	0.0	0.0010682921464817054	0.0	0.0	0.0	1.5710178624730964e-05	0.0	0.0	0.0	0.0	1.5710178624730964e-05	0.0	0.0	0.0	0.00043988500149246695	0.0	0.0005498562518655838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A02	0.21647427675644884	0.21903947555935596	0.11657403448767277	0.03748040473136667	0.06940287872310101	0.017528858486532704	0.02864471996579735	0.043750890694028786	0.0423257802479692	0.03434516175003562	0.011685905657688471	0.0018526435798774405	0.0021376656690893546	0.00798061849793359	0.003847798204360838	0.00014251104460595695	0.018526435798774405	0.0009975773122416986	0.00470286447199658	0.0	0.011685905657688471	0.02009405728943993	0.0031352429813310536	0.00042753313381787086	0.022659256092347157	0.0005700441784238278	0.0007125552230297848	0.0	0.0002850220892119139	0.0018526435798774405	0.00014251104460595695	0.0	0.0	0.00042753313381787086	0.0008550662676357417	0.003420265070542967	0.0	0.0005700441784238278	0.00014251104460595695	0.00513039760581445	0.009263217899387203	0.003420265070542967	0.0	0.00940572894399316	0.0	0.0	0.0011400883568476556	0.0002850220892119139	0.0	0.003420265070542967	0.0005700441784238278	0.0	0.0	0.0072680632749038045	0.0009975773122416986	0.0	0.00042753313381787086	0.0	0.003847798204360838	0.0	0.0	0.0	0.0011400883568476556	0.0	0.0	0.0	0.00612797491805615	0.0	0.0	0.0	0.0	0.0005700441784238278	0.0	0.0	0.0	0.0	0.00014251104460595695	0.0	0.0	0.0	0.0	0.0	0.00042753313381787086	0.0	0.0	0.0005700441784238278	0.0	0.0	0.0	0.0	0.0	0.0	0.0002850220892119139	0.0	0.0	0.0	0.0	0.0	0.0002850220892119139	0.0	0.0008550662676357417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A03	0.3614457831325301	0.03614457831325302	0.10843373493975904	0.03614457831325301	0.03614457831325302	0.09638554216867469	0.04819277108433735	0.012048192771084338	0.07228915662650602	0.04819277108433735	0.024096385542168676	0.0	0.024096385542168676	0.024096385542168676	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.0	0.024096385542168676	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A04	0.43666961913197533	0.3971656333038087	0.02019486271036315	0.0030115146147032773	0.023560673162090345	0.029229406554472984	0.007971656333038087	0.028343666961913195	0.0	0.008680248007085917	0.045172719220549155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A05	0.31651465165922754	0.24995148457209393	0.12478168057442267	0.02852707160877159	0.06345817970114496	0.03764797205511353	0.0392004657481079	0.06442848825926645	0.004269357655734524	0.0	0.012031826120706385	0.0	0.0	0.007956530176596158	0.0	0.013196196390452164	0.0	0.01339025810207646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01901804773918106	0.0	0.0	0.005627789637104599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A06	0.5013745148771022	0.1373706338939198	0.057001940491591206	0.037597024579560163	0.02967335058214748	0.05958926261319535	0.021345407503234153	0.003234152652005175	0.009459896507115132	0.0	0.01794954721862872	0.02150711513583441	0.0	0.011238680465717982	0.0024256144890038808	0.015281371280724449	0.006225743855109962	0.0014553686934023287	0.0	0.001131953428201811	0.004527813712807244	0.0025064683053040103	0.0	0.0	0.01277490297542044	0.0	0.0	0.0	0.0	0.002183053040103493	0.0023447606727037516	0.0	0.0	0.0	0.0	0.0	0.0	0.006064036222509703	0.0	0.003234152652005175	0.0	0.0	0.011157826649417852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003315006468305304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00986416558861578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006872574385510996	0.0	0.00016170763260025875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008893919793014231	0.0	0.0	0.0	0.0	8.085381630012937e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016170763260025875	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A07	0.2887867101750221	0.20557698012459208	0.026698309107089886	0.03530109759715218	0.05977454761198458	0.07727677247107681	0.0	0.039009196084248	0.06526253337288639	0.0001483239394838327	0.021210323346188074	0.12177395431622663	0.0029664787896766538	0.004746366063482646	0.0	0.0004449718184514981	0.012310886977158113	0.0013349154553544942	0.007564520913675467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001483239394838327	0.0	0.0	0.0	0.0	0.0	0.014090774250964106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015277365766834767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002966478789676654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A08	0.2806096311475409	0.31378073770491793	0.005251024590163934	0.15522540983606556	0.04918032786885246	0.05058913934426229	0.008965163934426229	0.0	0.00012807377049180329	0.0	0.013575819672131147	0.04149590163934426	0.0	0.007172131147540984	0.022412909836065573	0.0	0.0	0.0	0.0	0.019082991803278687	0.0	0.0	0.0042264344262295086	0.0	0.010758196721311475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010758196721311475	0.0067879098360655735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A09	0.3332266325224071	0.17509603072983357	0.08482714468629961	0.0067221510883482705	0.030409731113956465	0.029449423815621004	0.01088348271446863	0.017285531370038413	0.04737516005121639	0.029449423815620997	0.01792573623559539	0.0	0.0006402048655569782	0.0009603072983354673	0.008322663252240717	0.0	0.004161331626120358	0.0006402048655569782	0.0009603072983354673	0.0	0.0038412291933418692	0.0	0.0	0.01088348271446863	0.0003201024327784891	0.024007682458386685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057298335467349554	0.0	0.0	0.02528809218950064	0.0	0.0012804097311139564	0.009603072983354673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04001280409731114	0.0009603072983354673	0.0	0.02112676056338028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007042253521126761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A10	0.30058467320943855	0.261954479014408	0.09490499060346624	0.018688661515974113	0.04040509500939655	0.012319899770306956	0.021403215702651916	0.03476717477552726	0.015556483608268954	0.04437252035915641	0.006264355815410316	0.05700563792023387	0.0022969304656504487	0.0037586134892461896	0.0022969304656504487	0.00031321779077051577	0.0052202965128419305	0.01117143453748173	0.004593860931300898	0.00031321779077051577	0.011484652328252245	0.0006264355815410315	0.0031321779077051583	0.00020881186051367718	0.0006264355815410315	0.0007308415117978701	0.0013572770933389018	0.0	0.0005220296512841929	0.003549801628732512	0.0007308415117978701	0.0	0.0	0.0	0.0015660889538525787	0.003027771977448319	0.005846732094382961	0.00031321779077051577	0.0	0.004071831280016705	0.0007308415117978701	0.00010440593025683859	0.010962622676968051	0.0	0.0	0.0	0.0014616830235957402	0.0009396533723115473	0.0	0.00041762372102735435	0.00031321779077051577	0.0	0.0	0.0	0.0010440593025683859	0.0	0.0009396533723115473	0.0	0.0	0.00010440593025683859	0.00010440593025683859	0.00010440593025683859	0.001252871163082063	0.0	0.0	0.0	0.00010440593025683859	0.00041762372102735435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017749008143662561	0.00020881186051367718	0.0	0.0	0.001774900814366256	0.0	0.0	0.00010440593025683859	0.0	0.0	0.0	0.0	0.0	0.00020881186051367718	0.0	0.0006264355815410315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031321779077051577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A11	0.31839432532645495	0.18233113009833957	0.1805577946155087	0.05997098178300822	0.017249717878445914	0.0030630340157988068	0.016604868611961955	0.0008060615831049492	0.041109140738352416	0.002740609382556827	0.015960019345477992	0.006932129614702564	0.0	0.005964855714976625	0.007738191197807513	0.00048363694986296955	0.00016121231662098983	0.014992745445752055	0.00016121231662098983	0.0	0.000967273899725939	0.027728518458810254	0.033532161857165885	0.00048363694986296955	0.00016121231662098983	0.0	0.00032242463324197966	0.0011284862163469288	0.02095760116072868	0.00032242463324197966	0.0	0.0	0.0	0.0	0.0	0.00016121231662098983	0.0	0.004513944865387716	0.003385458649040787	0.0	0.0	0.0	0.0	0.012735773013058197	0.0	0.0	0.0	0.00016121231662098983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016121231662098983	0.0	0.0	0.0	0.0	0.007576978881186523	0.0	0.0	0.0	0.0	0.0	0.0	0.0025793970659358373	0.0	0.0	0.0	0.0	0.0	0.0	0.0037078832822827665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004191520232145736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A12	0.581930693069307	0.14282178217821784	0.046534653465346534	0.09207920792079206	0.04084158415841585	0.015099009900990099	0.00024752475247524753	0.007673267326732673	0.005198019801980198	0.0	0.0	0.014603960396039605	0.0	0.0	0.0	0.005198019801980198	0.00024752475247524753	0.0	0.0009900990099009901	0.01707920792079208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011881188118811881	0.009653465346534653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004455445544554455	0.0	0.0	0.0	0.0	0.0	0.0	0.00024752475247524753	0.0	0.0	0.0	0.0032178217821782176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215B01	0.1430911753193095	0.11077605578671161	0.14288820911318273	0.04749409223364313	0.07354625454861771	0.011786537541499338	0.04262290328660279	0.0294156023022167	0.013845194775069946	0.08180987865520395	0.009466923757194427	0.015468924424083394	0.0015947344767096277	0.035475593313713284	0.040767212259158865	0.01658523855778014	0.02597967438421505	0.018933847514388855	0.0003624396537976427	0.0	0.03269205677254738	0.003696884468735955	0.007147309972889516	0.007074822042129986	0.0043782710178755235	0.0034939182626092754	0.0003769372399495484	0.0013047827536715136	0.0003624396537976427	0.0042332951563564675	0.005364106876205112	0.0	8.698551691143425e-05	0.0026385606796468387	0.0006233962045319454	0.005364106876205112	0.00027545413688620843	0.0008988503414181539	0.0	0.006552908940661382	0.004711715499369355	0.0004204299984052655	0.002841526885773519	1.4497586151905708e-05	0.0012032996506081738	8.698551691143425e-05	0.0027110486104063676	0.00039143482610145414	0.0	1.4497586151905708e-05	0.006422430665294229	0.0001449758615190571	0.0	0.0003624396537976427	0.005378604462357018	0.0006813865491395682	5.799034460762283e-05	0.0	0.003145976194963538	5.799034460762283e-05	0.0030010003334444814	0.0013192803398234196	0.0001449758615190571	0.0	0.0010003334444814939	0.0	0.0021456427504820447	0.00024645896458239705	0.001435261029038665	0.0012177972367600793	0.00010148310306333996	0.0007393768937471911	0.0	0.0	0.0	0.00030444930919001987	0.00010148310306333996	0.0026820534381025558	0.0	0.0	0.0	0.0	0.0	0.00011598068921524566	0.0008843527552662482	0.0009858358583295882	0.0	0.0	2.8995172303811416e-05	0.0	0.0	0.0	1.4497586151905708e-05	0.0	0.002174637922785856	0.0	1.4497586151905708e-05	0.0	4.3492758455717126e-05	0.0	1.4497586151905708e-05	0.0	0.00026095655073430274	0.0	0.0	0.0021021499920263276	2.8995172303811416e-05	0.0	0.0	1.4497586151905708e-05	0.0	0.0	0.0010003334444814939	0.0	0.0	0.0	0.00026095655073430274	0.0	0.0	0.0004929179291647941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215B02	0.17227202264608757	0.05880568848149898	0.21459863853878824	0.057019613129338814	0.023151580508188985	0.027970614005526726	0.03912516007279101	0.032452652153400284	0.03059917773134731	0.02652153400283076	0.03255375075823954	0.03868706611848755	0.0	0.0370357889061131	0.015737682819977086	0.00431354047314147	0.01347981397856709	0.020489317247421986	0.01236772932533531	0.0	0.0041787423333558	0.0021230707016243176	0.011255644672103524	0.007717193502729662	0.0027970614005526726	0.0011794837231246208	0.00700950326885489	0.013075419559210082	0.016411673518905438	0.004279840938195053	0.0034373525645346095	0.002291568376356406	0.000640291163981937	0.01115454606726427	0.0014490800026959628	0.009638066994675473	0.0	0.0011794837231246208	0.001819774887106558	0.0022915683763564064	0.003639549774213116	0.0	0.0013479813978567096	0.001280582327963874	0.0	0.0	0.0011120846532317854	0.0017860753521601403	0.0	3.369953494641774e-05	3.369953494641774e-05	0.0	0.0	0.0	0.0011794837231246208	0.0	0.0005728920940891016	0.0010109860483925321	0.0017186762822673047	0.00013479813978567096	0.0040439441935701285	0.0014827795376423803	0.0031340567500168495	0.0	0.00040439441935701285	0.0	6.739906989283548e-05	0.0	0.0	0.0034710520994810272	0.0007076902338747725	0.00013479813978567096	0.0	0.0	0.003100357215070432	0.0036395497742131157	0.0	0.0010109860483925321	0.0	0.0	0.0	0.00013479813978567096	0.0	0.0030329581451775966	0.0	0.0002695962795713419	0.0	0.0	0.0	0.0	0.00037069488441059513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.369953494641774e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215B03	0.14397044547513768	0.06903246683205695	0.2203106461007444	0.08896019846834215	0.014318843706180565	0.0062291014992988895	0.06916729586883831	0.029743285513968293	0.053014777262431215	0.04408909502750511	0.027909610613741778	0.01955021033329738	0.002993204616546219	0.02389170531765721	0.023729910473519585	0.0032628626901089423	0.010462733254233633	0.026480422823859352	0.011703160392622156	0.0	0.0016179484413763347	5.3931614712544494e-05	0.011730126199978427	0.006606622802286701	0.0043684607917161035	0.009572861611476647	0.004476324021141193	0.0037212814151655702	0.011029015208715348	0.0018336749002265129	0.0038830762593032035	0.004826879516772733	0.0	0.0	0.0	0.0008898716427569841	0.0008629058354007119	0.005554956315392083	0.0	0.006229101499298889	0.0	0.0	0.000647179376550534	0.004017905296084564	0.0	0.0	0.0	0.0	0.0019415381296516018	0.005581922122748355	5.3931614712544494e-05	0.0021033329737892353	0.0	0.0	0.0	0.0010247006795383454	0.00347858914895912	0.0	0.0020763671664329633	0.0011325639089634343	0.0	0.0008898716427569841	0.0	0.0	0.0	0.0	0.0	0.0026696149282709526	0.0011325639089634343	0.00048538453241290044	0.00037752130298781146	0.0	0.0	0.0	0.0019415381296516018	0.0	0.00016179484413763348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007550426059756229	0.0	0.0	0.0	0.0	0.0	0.003370725919534031	0.0	0.0	0.0	0.0	0.0	0.0	5.3931614712544494e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6965807356272247e-05
21to22FACS16S221215B04	0.33689024390243894	0.12652439024390244	0.09516550522648085	0.0026132404181184667	0.13153310104529614	0.0938588850174216	0.006315331010452962	0.0	0.043336236933797914	0.00021777003484320557	0.030270034843205576	0.0	0.02460801393728223	0.0	0.012412891986062718	0.008057491289198606	0.0	0.0	0.0	0.006315331010452962	0.0	0.03702090592334495	0.0	0.0	0.02221254355400697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008710801393728223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01088850174216028	0.0	0.0	0.0	0.0	0.0	0.010452961672473868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00043554006968641115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215B05	0.5982423101067168	0.19347143753923418	0.038669177652228506	0.021720025109855618	0.005398618957940992	0.024356559949780292	0.0	0.009290646578782171	0.02071563088512241	0.008913998744507219	0.020087884494664157	0.014563716258631513	0.00012554927809165097	0.0010043942247332078	0.0	0.015819209039548022	0.0	0.0	0.009918392969240426	0.004896421845574388	0.0	0.0027620841180163213	0.0	0.0	0.00025109855618330194	0.0	0.0	0.0	0.0	0.0008788449466415569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008662900188323917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025109855618330194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
